time,a_y,a_x,a_z,v_y,v_x,v_z,y,x,z
6.784893,-0.4803666915523275,-0.05364645223608941,1.8632852058835683,0.7015427071089694,0.4604671877795625,0.1414528127894214,0.9790311646287649,0.4383703719852834,0.025455177789167893
6.792871,-0.4771634161210962,0.09075682319514378,1.701588481314802,0.6959000896644066,0.45912884455973285,0.15945032188313624,0.9859437617378811,0.4428729785174101,0.02683744498993376
6.800147,-0.45161516898304177,0.16260507033319693,1.5810367284528555,0.6897768832888468,0.45873417932792104,0.1753039161609702,0.9927099594306559,0.4472797855164599,0.02830337892289293
6.809178,-0.36274509201945293,0.14007514729678708,1.5027068054164459,0.6845431191990871,0.45969597874983004,0.190573260112224,0.9995261100122116,0.45179668388800026,0.03003351053456303
6.818859,-0.2579756211625723,0.1584446181536659,1.3784762762733245,0.6808223926525758,0.46104713770664274,0.2056691159065895,1.006401763071715,0.45642991141912326,0.032021451048673814
6.828701,-0.14760795133469282,0.2894122879815446,1.1233439461012016,0.6774395946254443,0.4618647190794153,0.21879300557122403,1.013119569864568,0.4609520567776684,0.0340296960219805
6.845336,0.07651304845730958,0.42863328777355275,0.7205649458932084,0.6737193570006323,0.4625526505041652,0.2278927023881779,1.019555311548944,0.46523555370895897,0.0359037828901783
6.857355,0.2980641863536676,0.6701844256699052,0.175016083789568,0.6698263297935935,0.46221141655756387,0.23049614693501186,1.0255396009812499,0.46910774396535665,0.03742383860523938
6.857496,0.5210558382314504,0.8688760775476951,-0.37589226433264333,0.6655213493782699,0.46165996692661754,0.2249499955428494,1.0310332935716855,0.47252618132949337,0.03847980226258803
6.86879,0.6609201456233851,0.8678403849396258,-0.6596279569407153,0.6625783730699953,0.4622254103111335,0.21295961476888536,1.0363398245144329,0.47579408224364766,0.03929671447888223
6.884392,0.6684990913054483,0.6600193306216862,-0.5788490112586574,0.6624858003203214,0.4642200163980942,0.1995468367964768,1.0418754039828892,0.47931925273831827,0.040229865566010624
6.893845,0.5654789364705195,0.592999175786758,-0.5190691660935846,0.6629903615685137,0.46463904335008915,0.18746955215955396,1.0475014421144897,0.4829449770664677,0.04112283992489656
6.902208,0.3891907389697795,0.6578109782860201,-0.5209573635943228,0.6622801405729102,0.46420641560138015,0.17581962872370555,1.0530966316064778,0.4865408213924343,0.04186633617121076
6.912694,0.19081132831676,0.933331567632997,-0.7253367742473423,0.6590067557038148,0.4636425698302737,0.16336569262312045,1.0585384904466086,0.48999840048361665,0.04235502651174789
6.924455,0.1843663217599545,1.2481865610761949,-1.199181780804154,0.6515711786860171,0.46369670254021855,0.14668904311665099,1.063559505200782,0.4930865747689452,0.04232996444742108
6.935783,0.26741155540434935,1.448231794720587,-1.684636547159751,0.6419811433584532,0.46483729026249054,0.12314332936594194,1.0681399911227796,0.49582611334259596,0.04174738217360884
6.955465,0.398664337448301,1.3953845767645423,-1.9761837651158007,0.6326189952931683,0.4673859297620891,0.0940911137595228,1.0725213893802361,0.49848075480460335,0.04079602199820676
6.955572,0.5556595287824894,1.1333797680987272,-2.0764885737816123,0.6250236401603164,0.4698443682862548,0.06254095982944917,1.0768924346078974,0.5012358202425674,0.03961418861131473
6.96946,0.74558091796795,0.7130011572841889,-2.029867184596154,0.6202271289176166,0.4708752495740335,0.031194296544041926,1.0814072582230736,0.5042147598475137,0.03832141501870899
6.969613,0.9545480581456267,0.3098682974618654,-1.999600044418475,0.6184743754265478,0.46879386807042006,0.0014459416512371138,1.0860805243073393,0.5073798746000142,0.03691198576416006
6.980124,1.131404460155906,-0.04517530052785562,-1.9567436424081988,0.6204458049419422,0.4642624926530921,-0.026380755011506662,1.0910292524116998,0.5107859974634259,0.0354865394421755
6.988656,1.238283911467844,-0.16629584921591728,-2.0417641910962576,0.6262419454157498,0.4581906187449979,-0.051734382126234116,1.0963635564585943,0.5144850441793397,0.03413928213327913
6.999786,1.3044979854494256,-0.12378177523433624,-2.2276501171146754,0.6343667963688402,0.4521476475432727,-0.07669497030388128,1.101980351169942,0.5183352714297912,0.03275054920000309
